,DA_FB_Ht_2,DA_FB_Ht_20,DA_FB_Ht_40,DA_FB_Ht_80,DA_Ran_Ht_2,DA_Ran_Ht_20,DA_Ran_Ht_40,DA_Ran_Ht_80,DA_Reg_Ht_2,DA_Reg_Ht_20,DA_Reg_Ht_40,DA_Reg_Ht_80,DA_USPG_Ht_2,DA_USPG_Ht_20,DA_USPG_Ht_40,DA_USPG_Ht_80,ecc_clo_FB_Ht_2,ecc_clo_FB_Ht_20,ecc_clo_FB_Ht_40,ecc_clo_FB_Ht_80,ecc_clo_Ran_Ht_2,ecc_clo_Ran_Ht_20,ecc_clo_Ran_Ht_40,ecc_clo_Ran_Ht_80,ecc_clo_Reg_Ht_2,ecc_clo_Reg_Ht_20,ecc_clo_Reg_Ht_40,ecc_clo_Reg_Ht_80,ecc_clo_USPG_Ht_2,ecc_clo_USPG_Ht_20,ecc_clo_USPG_Ht_40,ecc_clo_USPG_Ht_80,lpsi_FB_Ht_2,lpsi_FB_Ht_20,lpsi_FB_Ht_40,lpsi_FB_Ht_80,lpsi_Ran_Ht_2,lpsi_Ran_Ht_20,lpsi_Ran_Ht_40,lpsi_Ran_Ht_80,lpsi_Reg_Ht_2,lpsi_Reg_Ht_20,lpsi_Reg_Ht_40,lpsi_Reg_Ht_80,lpsi_USPG_Ht_2,lpsi_USPG_Ht_20,lpsi_USPG_Ht_40,lpsi_USPG_Ht_80,mdl_FB_Ht_2,mdl_FB_Ht_20,mdl_FB_Ht_40,mdl_FB_Ht_80,mdl_Ran_Ht_2,mdl_Ran_Ht_20,mdl_Ran_Ht_40,mdl_Ran_Ht_80,mdl_Reg_Ht_2,mdl_Reg_Ht_20,mdl_Reg_Ht_40,mdl_Reg_Ht_80,mdl_USPG_Ht_2,mdl_USPG_Ht_20,mdl_USPG_Ht_40,mdl_USPG_Ht_80
50,1,3,2,2,1,0,0,4,0,2,2,2,7,11,14,8,1,1,2,2,0,0,0,4,0,2,1,6,4,9,14,7,2,2,2,4,2,2,2,4,3,6,0,4,9,10,26,16,2,2,2,3,2,3,4,5,1,1,2,2,10,12,11,5
51,1,2,1,3,1,2,2,4,0,0,2,3,2,5,15,23,1,2,3,2,0,0,2,4,0,0,0,4,3,4,6,9,2,2,4,4,1,1,4,5,1,0,1,6,1,9,12,17,2,2,2,3,2,2,4,5,1,0,2,3,6,8,16,18
52,0,1,4,2,1,0,3,4,3,1,0,2,1,12,16,13,1,1,3,1,0,0,0,3,1,0,0,6,1,5,7,4,1,2,2,3,2,2,2,3,6,1,4,4,4,9,13,7,1,2,2,3,2,3,3,4,3,1,0,2,5,5,13,12
53,1,1,1,1,1,1,3,4,1,1,2,2,3,7,13,31,1,1,3,2,0,0,0,4,1,0,0,7,5,6,4,17,1,2,4,4,2,3,3,4,1,1,3,5,5,9,7,29,2,2,2,2,0,4,5,5,1,1,3,2,3,8,12,20
54,1,1,2,4,1,2,2,4,1,1,1,3,1,10,12,25,1,1,2,2,0,0,0,4,1,0,0,8,0,7,11,8,1,2,2,4,1,1,4,5,0,1,6,1,3,10,21,20,1,2,2,2,3,3,5,6,0,1,1,3,6,13,18,20
55,1,1,1,1,1,1,2,4,0,1,5,1,4,11,11,14,1,1,1,2,0,0,4,4,0,0,2,6,3,8,6,3,1,2,3,4,2,3,4,4,0,3,5,6,2,11,16,17,2,2,3,2,3,3,5,5,0,1,5,1,5,4,16,10
56,2,4,1,3,1,1,2,4,1,1,2,6,1,14,19,21,2,2,1,4,0,0,0,3,1,0,3,7,1,7,11,12,1,2,3,4,1,1,3,4,4,2,3,6,5,1,12,22,2,2,2,2,1,3,3,5,2,1,2,6,6,2,14,17
57,0,1,3,1,1,0,2,4,1,1,0,1,5,15,16,19,1,1,2,2,1,0,3,3,0,0,0,7,2,9,9,11,0,2,2,4,3,3,1,4,2,4,0,5,6,16,10,23,1,2,2,2,4,2,5,5,1,2,0,1,3,9,8,19
58,1,1,2,4,0,0,2,1,0,3,1,0,4,18,14,18,1,1,2,2,0,0,3,3,0,0,0,5,3,11,6,6,0,2,2,4,1,1,4,4,0,3,3,7,8,1,11,16,1,2,2,4,3,2,5,5,0,3,2,0,3,10,15,11
59,1,1,1,1,0,0,4,4,0,0,1,4,8,8,17,16,2,1,3,2,0,0,4,4,0,0,1,8,4,4,6,12,2,2,4,4,1,3,5,3,2,2,5,6,10,15,9,22,2,2,2,2,3,4,5,4,0,0,2,4,2,13,10,16
60,0,2,2,1,0,0,3,5,1,5,0,3,2,12,15,12,1,2,2,3,0,0,3,4,0,1,1,5,3,7,9,10,1,3,4,4,1,2,4,2,1,5,4,4,5,11,10,22,1,2,2,2,2,4,3,3,1,5,0,3,5,8,11,19
61,1,1,5,2,1,1,2,4,0,1,1,5,7,11,12,13,1,1,4,1,0,0,1,4,0,0,1,7,2,5,4,12,2,2,2,3,1,4,2,5,1,3,0,5,10,9,10,7,0,2,2,3,2,4,3,6,1,0,1,5,1,8,11,14
62,1,1,1,3,0,1,1,3,0,0,1,3,7,14,18,17,1,1,1,4,0,0,0,4,0,0,1,8,6,6,10,9,2,2,2,4,1,3,3,4,2,1,4,7,0,11,18,14,2,2,2,2,2,4,5,5,0,0,1,3,1,14,10,22
63,1,1,3,3,0,0,3,3,0,3,0,2,2,13,14,18,1,1,2,1,0,0,0,3,0,0,8,7,1,7,5,12,2,2,2,3,0,3,3,4,2,4,0,5,3,15,12,15,2,2,2,3,3,2,4,5,1,3,4,2,4,8,10,19
64,2,1,3,3,1,2,2,4,2,1,1,2,0,8,19,16,1,1,2,2,0,0,0,4,1,1,0,8,0,5,9,8,2,2,2,2,1,3,3,4,2,1,4,2,4,10,17,6,2,2,2,4,3,4,4,5,2,1,2,2,5,13,8,7
65,1,3,2,3,0,0,3,2,2,1,2,2,9,6,18,16,1,1,2,4,0,0,2,4,1,1,1,5,7,1,8,11,2,2,2,2,0,3,4,3,3,4,4,8,6,7,18,19,2,2,2,4,2,3,4,4,3,2,2,2,11,6,10,22
66,1,1,1,5,1,2,3,3,2,1,3,3,4,14,17,19,1,1,2,4,1,1,3,2,0,0,2,7,4,4,6,10,2,2,4,2,0,3,4,4,4,1,3,4,1,13,13,16,2,2,2,2,0,3,5,5,3,1,3,3,0,8,10,14
67,1,2,2,3,0,0,3,4,1,0,0,3,5,14,15,26,1,1,2,1,0,0,3,4,0,0,1,8,3,6,6,10,2,2,4,3,0,2,4,4,2,4,4,3,6,13,12,23,2,2,2,4,3,4,5,5,2,0,0,3,4,9,17,9
68,1,1,2,4,0,0,3,3,1,1,2,2,3,1,15,15,1,1,1,4,0,0,4,4,0,0,0,7,4,5,7,6,1,2,4,6,2,2,3,4,1,3,0,3,6,6,14,19,1,2,2,2,3,4,4,4,1,1,2,2,7,9,11,13
69,1,1,1,3,1,0,3,3,2,0,1,2,5,8,23,17,1,1,3,1,0,0,3,4,2,0,1,3,3,5,9,8,1,2,2,5,1,3,4,4,4,1,3,3,6,12,12,14,2,2,2,3,1,4,4,4,3,0,2,2,6,13,10,11
70,1,2,1,3,0,0,1,4,1,0,3,2,6,12,13,14,1,1,1,2,0,0,3,5,0,1,6,6,3,11,4,6,1,2,4,4,0,1,3,4,3,3,2,6,5,7,13,20,2,2,2,2,3,3,4,4,2,0,3,2,5,8,9,20
71,0,1,1,1,0,1,2,4,2,1,1,5,14,8,14,20,1,1,3,3,0,0,0,3,1,1,0,8,9,3,5,19,1,2,4,3,2,2,3,4,3,2,4,5,17,12,11,17,1,2,2,2,3,4,3,5,3,2,1,5,14,12,9,23
72,1,1,2,4,1,0,3,3,0,0,1,1,4,10,26,11,1,1,2,2,0,0,2,3,0,0,2,7,1,4,16,11,1,2,4,6,1,3,3,4,1,3,3,1,3,3,16,15,2,2,2,2,3,4,4,5,0,1,1,1,6,6,12,20
73,3,1,1,2,1,1,1,4,0,0,0,5,1,14,17,19,2,1,3,1,0,0,1,4,0,0,1,8,1,12,7,7,2,2,2,3,1,0,3,4,0,0,6,7,4,15,16,17,2,2,2,3,3,3,4,5,0,0,0,5,5,4,9,10
74,3,1,1,3,1,2,3,4,2,2,0,1,7,11,15,17,2,1,3,1,0,0,0,4,1,0,0,5,5,10,7,7,2,2,4,4,2,3,5,5,3,6,4,1,7,10,18,14,2,2,2,2,3,4,5,5,3,2,1,1,8,10,13,14
75,1,2,5,4,1,1,1,3,1,1,2,4,4,13,16,20,1,1,4,2,0,0,1,4,0,0,7,8,2,7,9,14,1,2,2,4,1,3,2,5,1,6,4,7,5,13,19,24,2,2,2,2,3,3,4,4,1,1,2,4,3,5,7,18
76,1,1,2,1,0,0,1,4,1,2,0,0,2,12,15,8,1,1,2,3,0,0,0,4,1,0,0,8,4,6,5,11,2,2,3,4,0,3,4,4,4,2,1,2,4,10,5,25,2,2,3,2,3,4,4,5,1,2,0,0,5,10,6,14
77,1,2,1,3,0,0,1,4,3,1,2,2,4,13,13,14,1,2,1,2,0,0,0,2,2,0,2,8,3,5,13,11,2,2,4,4,2,4,3,4,7,2,2,7,0,15,13,23,2,2,2,2,2,4,4,5,4,1,2,2,1,9,18,12
78,0,1,1,3,1,1,4,4,1,1,3,1,2,10,12,9,1,1,1,2,0,1,0,4,1,1,2,7,4,9,12,5,0,2,3,4,0,3,2,5,2,1,4,2,5,10,21,18,1,2,2,4,1,4,3,5,1,1,3,1,6,11,5,17
79,1,2,2,3,1,1,3,3,0,2,1,7,3,7,17,19,1,2,2,1,0,0,0,4,0,0,1,5,3,0,9,17,1,2,2,4,1,3,4,3,1,3,6,6,5,6,8,12,2,2,2,2,3,4,4,3,1,2,1,7,3,7,15,14
80,1,1,2,2,0,0,2,4,0,2,2,0,3,16,16,7,1,1,1,2,0,0,0,4,0,1,1,7,1,12,4,13,1,2,2,3,2,0,2,5,1,5,3,5,5,1,15,23,2,2,2,2,3,4,3,5,1,2,2,0,4,2,9,13
81,3,1,3,1,1,0,3,3,0,0,0,2,7,9,18,8,2,1,3,3,0,0,4,4,1,0,1,7,5,4,10,8,2,2,2,4,2,4,4,4,3,4,1,2,6,12,18,12,1,2,2,2,3,3,5,5,2,1,1,2,3,14,6,11
82,0,3,2,3,0,2,4,4,2,1,1,6,3,7,12,16,0,1,2,1,0,1,4,4,2,0,0,8,5,6,13,4,1,2,2,3,2,2,3,5,3,3,3,6,1,5,10,19,1,2,2,3,3,4,4,4,3,1,1,6,2,4,11,20
83,1,2,2,3,0,0,3,3,1,1,1,6,4,14,21,26,1,2,2,1,0,0,0,4,0,1,3,8,5,10,10,12,1,2,2,4,2,3,3,3,1,1,4,7,5,12,19,11,2,2,2,2,3,4,4,4,1,1,3,6,6,4,8,10
84,3,1,2,3,1,0,2,4,0,0,3,3,5,13,19,25,2,1,2,2,0,0,3,3,0,0,0,8,4,10,11,11,2,2,2,2,1,2,3,5,0,3,3,5,8,13,17,23,2,2,2,4,1,4,4,6,0,0,3,3,1,20,14,14
85,1,1,4,3,3,0,2,4,2,2,1,3,6,16,17,17,1,1,2,2,0,0,1,4,0,1,1,5,4,9,8,9,2,2,4,2,2,2,3,5,4,2,3,3,6,17,10,15,2,2,2,4,3,4,4,5,2,2,2,3,3,12,13,11
86,1,1,1,1,0,1,2,4,0,1,5,4,9,10,16,27,1,1,1,2,0,0,2,3,1,0,8,7,6,2,8,13,2,2,4,4,1,2,3,4,1,2,5,6,1,11,16,26,2,2,2,2,1,4,4,5,1,1,5,4,0,7,13,20
87,2,1,2,2,0,1,2,4,0,3,1,1,5,12,20,24,2,1,2,2,0,0,2,3,1,1,1,7,4,9,10,10,2,2,4,4,2,2,3,2,0,4,1,7,5,15,18,23,2,2,2,3,2,4,4,3,0,4,1,1,4,11,10,14
88,1,1,1,1,1,1,3,4,2,1,4,7,5,9,7,23,1,1,3,3,0,0,3,4,1,0,0,6,3,8,1,12,2,2,4,4,1,3,4,4,3,1,3,7,1,6,7,22,2,2,2,2,3,2,4,5,2,1,4,7,2,2,10,20
89,1,1,2,3,0,0,2,4,2,2,1,2,4,16,15,18,1,1,2,2,0,0,2,4,1,2,0,7,3,12,6,15,2,2,2,4,2,1,4,5,3,3,4,7,4,18,8,25,1,2,2,2,3,3,4,4,3,3,1,2,5,12,10,18
90,1,3,1,3,1,0,1,4,2,1,1,1,11,16,18,23,1,1,1,2,0,0,2,4,0,0,2,6,6,10,8,9,1,2,3,4,2,4,4,5,1,4,1,1,10,14,18,21,2,2,2,2,3,4,4,4,2,1,1,1,5,7,11,18
91,1,1,1,3,1,0,4,1,1,1,1,7,3,18,2,12,1,1,1,2,0,0,4,4,0,0,1,7,3,5,5,8,1,2,3,4,1,2,4,4,2,3,1,5,6,15,13,22,2,2,2,2,3,4,5,5,2,3,1,7,6,4,9,9
92,1,4,1,3,1,1,2,3,3,1,0,4,4,8,16,13,1,3,1,2,0,0,2,4,1,0,0,3,4,10,6,6,2,2,3,4,2,1,3,3,2,1,2,7,5,16,13,19,2,2,2,4,3,4,5,4,2,1,0,4,6,1,8,14
93,1,1,2,3,0,0,1,4,1,2,2,6,9,6,13,19,1,1,2,2,0,0,0,4,1,2,1,7,6,5,7,9,2,2,3,4,1,2,3,4,1,3,6,7,5,7,20,10,2,2,3,4,2,4,4,5,1,3,2,6,6,11,8,11
94,1,2,1,3,1,2,2,3,3,5,5,1,3,6,15,32,1,2,1,1,0,1,1,3,2,1,1,5,7,9,5,17,1,2,3,3,1,4,4,4,3,5,5,4,1,10,12,29,2,2,2,3,2,5,3,5,3,5,5,1,6,13,10,13
95,1,3,3,3,1,1,2,4,1,3,1,2,3,8,16,16,1,1,3,2,0,0,4,4,0,3,0,8,3,3,7,11,1,2,4,2,1,3,3,4,3,4,6,3,5,5,9,9,2,2,2,4,3,4,4,5,3,3,1,2,6,6,11,20
96,0,3,2,2,0,1,1,4,1,2,1,2,3,7,10,17,1,1,2,2,0,0,0,4,0,0,2,2,2,6,3,12,1,2,2,3,0,2,4,3,3,2,5,7,5,4,7,26,1,2,2,3,0,3,5,5,1,2,1,2,6,10,5,16
97,1,2,2,3,2,0,3,3,1,1,2,4,4,17,11,17,1,1,2,1,1,0,3,4,0,0,3,7,4,12,5,9,2,2,2,3,1,2,4,3,1,3,2,3,4,18,10,27,2,2,2,3,2,2,5,4,1,1,2,4,3,12,7,8
98,1,1,1,3,0,0,1,2,1,0,1,1,6,10,3,24,1,1,3,1,0,0,0,3,0,0,0,6,5,6,6,10,1,2,4,3,1,3,4,5,3,2,3,1,2,8,6,21,1,2,2,3,3,3,5,6,2,0,1,1,1,14,11,15
99,1,2,1,2,0,2,3,3,0,1,1,3,3,5,21,16,1,1,1,2,0,0,5,3,0,1,0,1,2,6,15,5,1,2,3,4,2,0,0,5,2,5,2,3,2,7,12,19,2,2,2,3,3,5,6,5,0,1,2,3,5,10,18,11
100,1,3,2,2,0,1,3,4,3,0,0,2,4,14,4,15,1,1,2,1,0,0,0,5,1,0,1,5,1,8,4,14,0,2,3,3,1,2,4,4,3,1,4,2,3,13,8,25,1,2,3,3,3,4,5,5,3,1,1,2,4,0,8,18
Accuracy @hop 0,10,0,0,0,60,49,1,0,41,22,19,5,2,0,0,0,2,0,0,0,95,95,40,0,66,66,36,0,3,1,0,0,13,0,0,0,16,3,1,0,11,3,6,1,3,0,1,0,1,0,1,0,3,0,0,0,20,18,15,5,4,1,0,0
Average Hop Error,1.01,1.69,1.84,2.67,0.44,0.61,2.22,3.57,0.86,1.35,1.46,2.97,4.39,10.63,15.22,17.02,1.08,1.21,2.03,1.97,0.05,0.05,1.52,3.73,0.38,0.4,1.31,6.46,3.3,6.75,7.7,9.91,1.35,2.09,3.09,3.63,1.25,2.37,3.38,4.23,1.84,2.77,3.04,4.61,4.67,10.7,13.57,17.82,1.77,2.05,2.05,2.66,2.53,3.51,4.24,4.66,1.34,1.59,1.64,2.92,4.31,8.99,10.45,15.05
Accuracy @hops 0-1,93,55,39,19,97,90,23,2,79,66,62,24,12,1,0,0,90,82,25,29,100,100,51,0,96,95,71,1,20,4,3,0,52,0,1,1,61,16,4,0,46,25,20,7,13,3,1,0,22,0,1,0,11,1,0,0,64,55,52,25,14,2,2,0
